Tipo;"Project ID";Fecha;Etiqueta;Crédito;Débito;Saldo;Moneda
Regalías;-;2021-12-31;"Q4 2021";2109.70;;42303.35;EUR
Regalías;-;2021-09-30;"Q3 2021";1771.36;;40193.65;EUR
Regalías;-;2021-06-30;"Q2 2021";2344.37;;38422.29;EUR
Regalías;-;2021-03-31;"Q1 2021";1899.41;;36077.92;EUR
Regalías;-;2020-12-31;"Q4 2020";2526.11;;34178.51;EUR
Regalías;-;2020-09-30;"Q3 2020";2382.92;;31652.40;EUR
Regalías;-;2020-06-30;"Q2 2020";2391.23;;29269.48;EUR
Regalías;-;2020-03-31;"Q1 2020";2983.36;;26878.25;EUR
Regalías;-;2019-12-31;"Q4 2019";4145.56;;23894.89;EUR
Regalías;-;2019-09-30;"Q3 2019";4970.67;;19749.33;EUR
Regalías;-;2019-06-30;"Q2 2019";11133.65;;14778.66;EUR
Regalías;-;2019-03-31;"Q1 2019";3645.01;;3645.01;EUR
