"iTunes Connect - Pagos e informes financieros	(Octubre, 2022)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Emiratos Árabes Unidos (AED)","0","","1.96","1.96","0","0","0","1.96","5.26531","10.32","MXN",
"Australia (AUD)","8","","24.10","24.10","0","0","-2.30","21.80","13.00642","283.54","MXN",
"Brasil (BRL)","1","","48.41","48.41","0","0","0","48.41","3.69634","178.94","MXN",
"Canadá (CAD)","3","","60.64","60.64","0","0","0","60.64","14.52441","880.76","MXN",
"Suiza (CHF)","0","","11.51","11.51","0","0","0","11.51","20.33710","234.08","MXN",
"Chile (CLP)","3","","33307.00","33307.00","0","0","0","33307.00","0.02184","727.55","MXN",
"China continental (CNY)","0","","3.41","3.41","0","0","0","3.41","2.71261","9.25","MXN",
"Colombia (COP)","1","","68464.28","68464.28","0","0","0","68464.28","0.00402","275.47","MXN",
"República Checa (CZK)","0","","34.00","34.00","0","0","0","34.00","0.82059","27.90","MXN",
"Dinamarca (DKK)","0","","7.51","7.51","0","0","0","7.51","2.69907","20.27","MXN",
"Egipto (EGP)","0","","7.42","7.42","0","0","0","7.42","0.81132","6.02","MXN",
"Eurozona (EUR)","21","","150.43","150.43","0","0","0","150.43","20.07272","3019.54","MXN",
"Reino Unido (GBP)","6","","22.05","22.05","0","0","0","22.05","23.07392","508.78","MXN",
"Hong Kong (HKD)","0","","6.03","6.03","0","0","0","6.03","2.47264","14.91","MXN",
"Hungría (HUF)","2","","465.00","465.00","0","0","0","465.00","0.04877","22.68","MXN",
"Indonesia (IDR)","0","1989.00","1896.00","3885.00","0","0","0","3885.00","0.00124","4.82","MXN",
"Israel (ILS)","0","","8.02","8.02","0","0","0","8.02","5.65586","45.36","MXN",
"India (INR)","0","8.52","10.08","18.60","0","0","0","18.60","0.23763","4.42","MXN",
"Japón (JPY)","13","","7406.00","7406.00","0","0","-741.00","6665.00","0.13834","922.04","MXN",
"Corea del Sur (KRW)","0","","1411.00","1411.00","0","0","0","1411.00","0.01480","20.88","MXN",
"México (MXN)","224","","28938.15","28938.15","0","0","0","28938.15","1.00000","28938.15","MXN",
"Malasia (MYR)","0","","1.00","1.00","0","0","0","1.00","4.42000","4.42","MXN",
"Noruega (NOK)","0","","13.40","13.40","0","0","0","13.40","1.91567","25.67","MXN",
"Nueva Zelanda (NZD)","0","","2.60","2.60","0","0","-0.20","2.40","11.96250","28.71","MXN",
"Perú (PEN)","0","","42.28","42.28","0","0","0","42.28","5.21121","220.33","MXN",
"Filipinas (PHP)","0","","6.69","6.69","0","0","0","6.69","0.33034","2.21","MXN",
"Polonia (PLN)","0","","3.56","3.56","0","0","0","3.56","4.28652","15.26","MXN",
"Catar (QAR)","0","0.52","0.00","0.52","0","0","0","0.52","5.40385","2.81","MXN",
"Rumanía (RON)","0","","3.44","3.44","0","0","0","3.44","4.08430","14.05","MXN",
"Rusia (RUB)","0","","113.26","113.26","0","0","0","113.26","0.31776","35.99","MXN",
"Arabia Saudí (SAR)","0","","3.35","3.35","0","0","0","3.35","5.14328","17.23","MXN",
"Suecia (SEK)","1","","17.15","17.15","0","0","0","17.15","1.82624","31.32","MXN",
"Singapur (SGD)","0","","1.19","1.19","0","0","0","1.19","14.10084","16.78","MXN",
"Tailandia (THB)","0","","9.38","9.38","0","0","0","9.38","0.53518","5.02","MXN",
"Turquía (TRY)","2","","7.59","7.59","0","0","0","7.59","1.03821","7.88","MXN",
"Taiwán (TWD)","1","","48.00","48.00","0","0","0","48.00","0.63146","30.31","MXN",
"América Latina y el Caribe (USD)","3","","60.77","60.77","0","0","0","60.77","19.34458","1175.57","MXN",
"Resto del mundo (USD)","0","","0.62","0.62","0","0","0","0.62","19.33871","11.99","MXN",
"América (USD)","159","","1606.31","1606.31","0","0","-160.63","1445.68","19.34450","27965.96","MXN",
"Sudáfrica (ZAR)","0","","11.05","11.05","0","0","0","11.05","1.11765","12.35","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"65,779.54 MXN",,
,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715,,
,,,,,,,,,,,,
,,,,,,,,,,,,
