"iTunes Connect - Pagos e informes financieros	(Enero, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.31,2.31,0,0,0,2.31,5.51515,12.74,MXN,
Australia (AUD),4,,22.18,22.18,0,0,-2.22,19.96,12.94539,258.39,MXN,
Bulgaria (BGN),0,,0.31,0.31,0,0,0,0.31,10.93548,3.39,MXN,
Brasil (BRL),0,,44.67,44.67,0,0,0,44.67,3.55205,158.67,MXN,
Canadá (CAD),12,,85.15,85.15,0,0,0,85.15,14.27845,1215.81,MXN,
Suiza (CHF),3,,13.12,13.12,0,0,0,13.12,22.55259,295.89,MXN,
Chile (CLP),0,,26997,26997,0,0,0,26997,0.02145,579.16,MXN,
China continental (CNY),0,,4.51,4.51,0,0,0,4.51,2.79157,12.59,MXN,
Colombia (COP),0,,86603.74,86603.74,0,0,0,86603.74,0.00494,427.94,MXN,
República Checa (CZK),0,,19.05,19.05,0,0,0,19.05,0.84619,16.12,MXN,
Dinamarca (DKK),0,,13.51,13.51,0,0,0,13.51,2.84456,38.43,MXN,
Eurozona (EUR),9,,139.31,139.31,0,0,0,139.31,21.21463,2955.41,MXN,
Reino Unido (GBP),2,,20.78,20.78,0,0,0,20.78,25.63619,532.72,MXN,
Hong Kong (HKD),0,,3.47,3.47,0,0,0,3.47,2.60807,9.05,MXN,
Hungría (HUF),0,,208,208,0,0,0,208,0.05303,11.03,MXN,
Indonesia (IDR),0,,3877,3877,0,0,0,3877,0.00126,4.88,MXN,
Israel (ILS),0,,9.64,9.64,0,0,0,9.64,5.72199,55.16,MXN,
India (INR),0,,53.85,53.85,0,0,0,53.85,0.2364,12.73,MXN,
Japón (JPY),3,,2732,2732,0,0,-273,2459,0.13477,331.4,MXN,
República de Corea (KRW),0,,1755,1755,0,0,0,1755,0.01409,24.72,MXN,
Kazajistán (KZT),0,,314.15,314.15,0,0,0,314.15,0.04052,12.73,MXN,
México (MXN),178,,28505.04,28505.04,0,0,0,28505.04,1,28505.04,MXN,
Noruega (NOK),1,,24.84,24.84,0,0,0,24.84,1.82448,45.32,MXN,
Nueva Zelanda (NZD),0,,3.91,3.91,0,0,-0.4,3.51,11.67236,40.97,MXN,
Perú (PEN),2,,53.03,53.03,0,0,0,53.03,5.50273,291.81,MXN,
Filipinas (PHP),0,,18.84,18.84,0,0,0,18.84,0.34926,6.58,MXN,
Polonia (PLN),0,,6.01,6.01,0,0,0,6.01,5.08319,30.55,MXN,
Rumanía (RON),0,,5.27,5.27,0,0,0,5.27,4.26755,22.49,MXN,
Rusia (RUB),0,,96.16,96.16,0,0,0,96.16,0.22941,22.06,MXN,
Arabia Saudí (SAR),0,,1.07,1.07,0,0,0,1.07,5.40187,5.78,MXN,
Suecia (SEK),0,,8.72,8.72,0,0,0,8.72,1.90367,16.6,MXN,
Singapur (SGD),0,,0.32,0.32,0,0,0,0.32,15.15625,4.85,MXN,
Turquía (TRY),2,,18.78,18.78,0,0,0,18.78,0.55644,10.45,MXN,
Taiwán (TWD),3,,388,388,0,0,0,388,0.62059,240.79,MXN,
América (USD),121,,1748.9,1748.9,0,0,-174.89,1574.01,20.2644,31896.37,MXN,
Resto del mundo (USD),0,,1.21,1.21,0,0,0,1.21,20.26446,24.52,MXN,
América Latina y el Caribe (USD),1,,62.51,62.51,0,0,0,62.51,20.26444,1266.73,MXN,
Vietnam (VND),0,,3010,3010,0,0,0,3010,0.00077,2.33,MXN,
Sudáfrica (ZAR),1,,20.65,20.65,0,0,0,20.65,1.10412,22.8,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"69,425.00 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
