"iTunes Connect - Pagos e informes financieros	(Febrero, 2025)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.09,3.09,0,0,0,3.09,5.47896,16.93,MXN,
Australia (AUD),2,,26.68,26.68,0,0,-2.66,24.02,12.64988,303.85,MXN,
Bulgaria (BGN),0,,0.76,0.76,0,0,0,0.76,11.18421,8.5,MXN,
Brasil (BRL),1,,30.61,30.61,0,0,0,30.61,3.55701,108.88,MXN,
Canadá (CAD),10,,64.98,64.98,0,0,0,64.98,14.03447,911.96,MXN,
Suiza (CHF),1,,14.46,14.46,0,0,0,14.46,22.80844,329.81,MXN,
Chile (CLP),1,,22819,22819,0,0,0,22819,0.02173,495.9,MXN,
China continental (CNY),0,,4.4,4.4,0,0,0,4.4,2.77273,12.2,MXN,
Colombia (COP),0,,73236.28,73236.28,0,0,0,73236.28,0.00481,352,MXN,
República Checa (CZK),0,,21.34,21.34,0,0,0,21.34,0.86785,18.52,MXN,
Dinamarca (DKK),0,,8.13,8.13,0,0,0,8.13,2.92005,23.74,MXN,
Eurozona (EUR),15,,135.88,135.88,0,0,0,135.88,21.78672,2960.38,MXN,
Reino Unido (GBP),3,,17.17,17.17,0,0,0,17.17,26.02388,446.83,MXN,
Hong Kong (HKD),0,,1.98,1.98,0,0,0,1.98,2.59091,5.13,MXN,
Hungría (HUF),0,,77,77,0,0,0,77,0.05377,4.14,MXN,
Indonesia (IDR),0,,3657,3657,0,0,0,3657,0.00119,4.36,MXN,
Israel (ILS),0,,6.99,6.99,0,0,0,6.99,5.48498,38.34,MXN,
India (INR),0,,34.35,34.35,0,0,0,34.35,0.23464,8.06,MXN,
Japón (JPY),4,,2761,2761,0,0,-276,2485,0.13485,335.1,MXN,
República de Corea (KRW),0,,1994,1994,0,0,0,1994,0.01383,27.57,MXN,
Kazajistán (KZT),0,,72.28,72.28,0,0,0,72.28,0.03915,2.83,MXN,
México (MXN),127,,23499.72,23499.72,0,0,0,23499.72,1,23499.72,MXN,
Malasia (MYR),0,,0.53,0.53,0,0,0,0.53,4.5283,2.4,MXN,
Noruega (NOK),0,,16.13,16.13,0,0,0,16.13,1.90639,30.75,MXN,
Nueva Zelanda (NZD),0,,1.33,1.33,0,0,-0.13,1.2,11.58333,13.9,MXN,
Perú (PEN),0,,40.36,40.36,0,0,0,40.36,5.555,224.2,MXN,
Filipinas (PHP),0,,11.71,11.71,0,0,0,11.71,0.35354,4.14,MXN,
Polonia (PLN),0,,5.23,5.23,0,0,0,5.23,5.2065,27.23,MXN,
Catar (QAR),0,,0.68,0.68,0,0,0,0.68,5.44118,3.7,MXN,
Rumanía (RON),0,,2.33,2.33,0,0,0,2.33,4.39485,10.24,MXN,
Rusia (RUB),1,,93.35,93.35,0,0,0,93.35,0.23567,22,MXN,
Arabia Saudí (SAR),0,,1.22,1.22,0,0,0,1.22,5.36066,6.54,MXN,
Suecia (SEK),1,,27.04,27.04,0,0,0,27.04,1.98964,53.8,MXN,
Tailandia (THB),0,,5.49,5.49,0,0,0,5.49,0.59563,3.27,MXN,
Turquía (TRY),17,,24.16,24.16,0,0,0,24.16,0.52939,12.79,MXN,
Taiwán (TWD),0,,33,33,0,0,0,33,0.60727,20.04,MXN,
América Latina y el Caribe (USD),1,,53.41,53.41,0,0,0,53.41,20.12563,1074.91,MXN,
América (USD),117,,1591.47,1591.47,0,0,-159.15,1432.32,20.1257,28826.44,MXN,
Resto del mundo (USD),0,,1.08,1.08,0,0,0,1.08,20.12963,21.74,MXN,
Sudáfrica (ZAR),0,,12.26,12.26,0,0,0,12.26,1.10522,13.55,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"60,286.39 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
