"iTunes Connect - Pagos e informes financieros	(Abril, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.01,3.01,0,0,0,3.01,4.51827,13.6,MXN,
Australia (AUD),4,,20.17,20.17,0,0,-1.9,18.27,11.00766,201.11,MXN,
Bulgaria (BGN),0,,0.49,0.49,0,0,0,0.49,9.18367,4.5,MXN,
Brasil (BRL),1,,39.85,39.85,0,2.82,0,42.67,3.22451,137.59,MXN,
Canadá (CAD),22,,95.72,95.72,0,14.26,0,109.98,12.13748,1334.88,MXN,
Suiza (CHF),0,,11.32,11.32,0,0,0,11.32,18.15813,205.55,MXN,
Chile (CLP),5,,38211,38211,0,2303,0,40514,0.01834,743.21,MXN,
China continental (CNY),0,,5.28,5.28,0,0,0,5.28,2.28788,12.08,MXN,
Colombia (COP),3,,72270.64,72270.64,0,5582.22,0,77852.86,0.00433,337.41,MXN,
República Checa (CZK),0,,30.91,30.91,0,0,0,30.91,0.7276,22.49,MXN,
Dinamarca (DKK),0,,15.65,15.65,0,0,0,15.65,2.4115,37.74,MXN,
Eurozona (EUR),11,,138.29,138.29,0,0,0,138.29,17.994,2488.39,MXN,
Reino Unido (GBP),2,,19.84,19.84,0,0,0,19.84,21.10383,418.7,MXN,
Hong Kong (HKD),0,,3.6,3.6,0,0,0,3.6,2.125,7.65,MXN,
Hungría (HUF),0,,139,139,0,0,0,139,0.04662,6.48,MXN,
Indonesia (IDR),0,,6859,6859,0,0,0,6859,0.00102,7.02,MXN,
Israel (ILS),1,,10.51,10.51,0,0,0,10.51,4.51951,47.5,MXN,
India (INR),0,,57.54,57.54,0,0,0,57.54,0.20021,11.52,MXN,
Japón (JPY),3,,2324,2324,0,0,-233,2091,0.1059,221.44,MXN,
Corea del Sur (KRW),0,,2534,2534,0,0,0,2534,0.01214,30.77,MXN,
Kazajistán (KZT),0,,169.01,169.01,0,0,0,169.01,0.03728,6.3,MXN,
México (MXN),233,,26047.4,26047.4,0,1893.96,0,27941.36,1,27941.36,MXN,
Malasia (MYR),0,,1.54,1.54,0,0,0,1.54,3.50649,5.4,MXN,
Noruega (NOK),0,,13.16,13.16,0,0,0,13.16,1.55623,20.48,MXN,
Nueva Zelanda (NZD),0,,4.91,4.91,0,0,-0.4,4.51,10.15965,45.82,MXN,
Perú (PEN),2,,64.12,64.12,0,4.88,0,69,4.43551,306.05,MXN,
Polonia (PLN),0,,5.05,5.05,0,0,0,5.05,4.20396,21.23,MXN,
Catar (QAR),0,,0.57,0.57,0,0,0,0.57,4.42105,2.52,MXN,
Rumanía (RON),1,,17.98,17.98,0,0,0,17.98,3.6129,64.96,MXN,
Arabia Saudí (SAR),0,,1.88,1.88,0,0,0,1.88,4.42553,8.32,MXN,
Suecia (SEK),4,,94.04,94.04,0,0,0,94.04,1.55115,145.87,MXN,
Singapur (SGD),0,,0.41,0.41,0,0,0,0.41,12.29268,5.04,MXN,
Turquía (TRY),3,,14.71,14.71,0,0,0,14.71,0.5153,7.58,MXN,
Taiwán (TWD),0,,29,29,0,0,0,29,0.51517,14.94,MXN,
Resto del mundo (USD),0,,0.74,0.74,0,0,0,0.74,16.59459,12.28,MXN,
América Latina y el Caribe (USD),3,,76.89,76.89,0,5.41,0,82.3,16.59684,1365.92,MXN,
América (USD),157,,1724.55,1724.55,0,0,-172.45,1552.1,16.5969,25760.05,MXN,
Vietnam (VND),0,,2981,2981,0,0,0,2981,0.00066,1.98,MXN,
Sudáfrica (ZAR),2,,25.62,25.62,0,0,0,25.62,0.90164,23.1,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"62,048.83 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
,,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Rusia (RUB),0,,183.77,183.77,0,0,0,183.77,,33.08,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,33.08 MXN,
,,,,,,,,,,,Ganancias estimadas,
