"iTunes Connect - Pagos e informes financieros	(Julio, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,1.73,1.73,0,0,0,1.73,4.56069,7.89,MXN,
Australia (AUD),1,,16.93,16.93,0,0,-1.5,15.43,10.79844,166.62,MXN,
Brasil (BRL),1,,47.31,47.31,0,0,0,47.31,3.45339,163.38,MXN,
Canadá (CAD),10,,83.99,83.99,0,0,0,83.99,12.36766,1038.76,MXN,
Suiza (CHF),1,,11.04,11.04,0,0,0,11.04,19.02083,209.99,MXN,
Chile (CLP),0,,28555,28555,0,0,0,28555,0.01971,562.85,MXN,
China continental (CNY),0,,5.52,5.52,0,0,0,5.52,2.30072,12.7,MXN,
Colombia (COP),0,,68164.85,68164.85,0,0,0,68164.85,0.00414,282.51,MXN,
República Checa (CZK),0,,26.96,26.96,0,0,0,26.96,0.75519,20.36,MXN,
Dinamarca (DKK),0,,14.92,14.92,0,0,0,14.92,2.43834,36.38,MXN,
Egipto (EGP),0,,5.7,5.7,0,0,0,5.7,0.54211,3.09,MXN,
Eurozona (EUR),12,,151.94,151.94,0,0,0,151.94,18.17941,2762.18,MXN,
Reino Unido (GBP),3,,23.73,23.73,0,0,0,23.73,21.23515,503.91,MXN,
Hong Kong (HKD),0,,2.35,2.35,0,0,0,2.35,2.13617,5.02,MXN,
Hungría (HUF),1,,285,285,0,0,0,285,0.04782,13.63,MXN,
Indonesia (IDR),0,,4223,4223,0,0,0,4223,0.00108,4.54,MXN,
Israel (ILS),0,,8.02,8.02,0,0,0,8.02,4.4202,35.45,MXN,
India (INR),0,,13.63,13.63,0,0,0,13.63,0.20029,2.73,MXN,
Japón (JPY),12,,5298,5298,0,0,-530,4768,0.1152,549.27,MXN,
Corea del Sur (KRW),0,,1714,1714,0,0,0,1714,0.01262,21.63,MXN,
Kazajistán (KZT),0,,59.08,59.08,0,0,0,59.08,0.0369,2.18,MXN,
México (MXN),265,,30080.56,30080.56,0,0,0,30080.56,1,30080.56,MXN,
Malasia (MYR),0,,1.53,1.53,0,0,0,1.53,3.56209,5.45,MXN,
Noruega (NOK),0,,11.73,11.73,0,0,0,11.73,1.57033,18.42,MXN,
Nueva Zelanda (NZD),0,,3.62,3.62,0,0,-0.3,3.32,9.95482,33.05,MXN,
Perú (PEN),1,,50.34,50.34,0,0,0,50.34,4.52702,227.89,MXN,
Polonia (PLN),0,,9.48,9.48,0,0,0,9.48,4.0654,38.54,MXN,
Rumanía (RON),0,,3.41,3.41,0,0,0,3.41,3.67742,12.54,MXN,
Rusia (RUB),0,,87.42,87.42,0,0,0,87.42,0.1765,15.43,MXN,
Arabia Saudí (SAR),0,,1.94,1.94,0,0,0,1.94,4.46392,8.66,MXN,
Suecia (SEK),1,,19.98,19.98,0,0,0,19.98,1.52452,30.46,MXN,
Singapur (SGD),0,,0.34,0.34,0,0,0,0.34,12.38235,4.21,MXN,
Tailandia (THB),0,,4.17,4.17,0,0,0,4.17,0.47962,2,MXN,
Turquía (TRY),1,,9.15,9.15,0,0,0,9.15,0.6153,5.63,MXN,
Taiwán (TWD),0,,22,22,0,0,0,22,0.52864,11.63,MXN,
Resto del mundo (USD),0,,1.23,1.23,0,0,0,1.23,16.7561,20.61,MXN,
América (USD),147,,1712.83,1712.83,0,0,-171.28,1541.55,16.7565,25830.98,MXN,
América Latina y el Caribe (USD),2,,63.32,63.32,0,0,0,63.32,16.75648,1061.02,MXN,
Vietnam (VND),0,,2947,2947,0,0,0,2947,0.00068,2,MXN,
Sudáfrica (ZAR),0,,17.39,17.39,0,0,0,17.39,0.89822,15.62,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"63,829.77 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
