"iTunes Connect - Pagos e informes financieros	(Septiembre, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.7,3.7,0,0,0,3.7,4.97838,18.42,MXN,
Australia (AUD),1,,17.61,17.61,0,0,-1.7,15.91,11.53803,183.57,MXN,
Bulgaria (BGN),0,,6.44,6.44,0,0,0,6.44,9.87888,63.62,MXN,
Brasil (BRL),1,,33.89,33.89,0,0,0,33.89,3.61641,122.56,MXN,
Canadá (CAD),1,,43.17,43.17,0,0,0,43.17,13.34237,575.99,MXN,
Suiza (CHF),6,,14.7,14.7,0,0,0,14.7,20.47687,301.01,MXN,
Chile (CLP),0,,28257,28257,0,0,0,28257,0.01942,548.86,MXN,
China continental (CNY),0,,5.83,5.83,0,0,0,5.83,2.49057,14.52,MXN,
Colombia (COP),0,,60700.35,60700.35,0,0,0,60700.35,0.0043,260.82,MXN,
República Checa (CZK),0,,24.65,24.65,0,0,0,24.65,0.78458,19.34,MXN,
Dinamarca (DKK),0,,14.18,14.18,0,0,0,14.18,2.59168,36.75,MXN,
Egipto (EGP),0,,3.62,3.62,0,0,0,3.62,0.5884,2.13,MXN,
Eurozona (EUR),12,,124.18,124.18,0,0,0,124.18,19.33782,2401.37,MXN,
Reino Unido (GBP),8,,17.96,17.96,0,0,0,17.96,22.14087,397.65,MXN,
Hong Kong (HKD),0,,1.88,1.88,0,0,0,1.88,2.33511,4.39,MXN,
Hungría (HUF),0,,157,157,0,0,0,157,0.05051,7.93,MXN,
Indonesia (IDR),0,,2577,2577,0,0,0,2577,0.00113,2.9,MXN,
Israel (ILS),0,,8.73,8.73,0,0,0,8.73,4.54066,39.64,MXN,
India (INR),0,,12.75,12.75,0,0,0,12.75,0.22745,2.9,MXN,
Japón (JPY),8,,3880,3880,0,0,-388,3492,0.12183,425.43,MXN,
Corea del Sur (KRW),0,,1026,1026,0,0,0,1026,0.01357,13.92,MXN,
Kazajistán (KZT),0,,67.33,67.33,0,0,0,67.33,0.03728,2.51,MXN,
México (MXN),141,,22221.18,22221.18,0,0,0,22221.18,1,22221.18,MXN,
Malasia (MYR),0,,2.78,2.78,0,0,0,2.78,3.82734,10.64,MXN,
Noruega (NOK),0,,12.32,12.32,0,0,0,12.32,1.65422,20.38,MXN,
Nueva Zelanda (NZD),0,,2.47,2.47,0,0,-0.19,2.28,10.64912,24.28,MXN,
Perú (PEN),2,,42.26,42.26,0,0,0,42.26,4.71959,199.45,MXN,
Filipinas (PHP),0,,7.89,7.89,0,0,0,7.89,0.31812,2.51,MXN,
Polonia (PLN),0,,4.84,4.84,0,0,0,4.84,4.35537,21.08,MXN,
Catar (QAR),0,,0.69,0.69,0,0,0,0.69,5.04348,3.48,MXN,
Rumanía (RON),0,,4.29,4.29,0,0,0,4.29,3.87646,16.63,MXN,
Rusia (RUB),0,,76.38,76.38,0,0,0,76.38,0.18905,14.44,MXN,
Arabia Saudí (SAR),0,,1.63,1.63,0,0,0,1.63,4.87117,7.94,MXN,
Suecia (SEK),0,,9.14,9.14,0,0,0,9.14,1.66193,15.19,MXN,
Tailandia (THB),1,,20.01,20.01,0,0,0,20.01,0.50275,10.06,MXN,
Turquía (TRY),0,,9.21,9.21,0,0,0,9.21,0.65147,6,MXN,
Taiwán (TWD),0,,46,46,0,0,0,46,0.56761,26.11,MXN,
Resto del mundo (USD),0,,0.68,0.68,0,0,0,0.68,18.26471,12.42,MXN,
América Latina y el Caribe (USD),1,,51.05,51.05,0,0,0,51.05,18.26503,932.43,MXN,
América (USD),148,,1428.18,1428.18,0,0,-142.82,1285.36,18.265,23477.1,MXN,
Sudáfrica (ZAR),0,,7.44,7.44,0,0,0,7.44,0.95565,7.11,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"52,474.66 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
