"iTunes Connect - Pagos e informes financieros	(Noviembre, 2022)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Emiratos Árabes Unidos (AED)","0","1.64","1.64","0","0","0","1.64","5.37805","8.82","MXN",
"Australia (AUD)","3","16.97","16.97","0","0","-1.50","15.47","13.21073","204.37","MXN",
"Brasil (BRL)","1","32.36","32.36","0","0","0","32.36","3.83900","124.23","MXN",
"Canadá (CAD)","10","63.84","63.84","0","0","0","63.84","14.44408","922.11","MXN",
"Suiza (CHF)","0","8.52","8.52","0","0","0","8.52","21.23239","180.90","MXN",
"Chile (CLP)","0","23704.00","23704.00","0","0","0","23704.00","0.02340","554.79","MXN",
"China continental (CNY)","0","1.81","1.81","0","0","0","1.81","2.82873","5.12","MXN",
"Colombia (COP)","1","56665.88","56665.88","0","0","0","56665.88","0.00428","242.73","MXN",
"República Checa (CZK)","2","51.40","51.40","0","0","0","51.40","0.86556","44.49","MXN",
"Dinamarca (DKK)","0","11.59","11.59","0","0","0","11.59","2.82140","32.70","MXN",
"Egipto (EGP)","0","2.88","2.88","0","0","0","2.88","0.80208","2.31","MXN",
"Eurozona (EUR)","35","151.83","151.83","0","0","0","151.83","20.98492","3186.14","MXN",
"Reino Unido (GBP)","4","22.75","22.75","0","0","0","22.75","24.02901","546.66","MXN",
"Hong Kong (HKD)","0","3.22","3.22","0","0","0","3.22","2.53727","8.17","MXN",
"Croacia (HRK)","0","0.97","0.97","0","0","0","0.97","2.81443","2.73","MXN",
"Hungría (HUF)","0","94.00","94.00","0","0","0","94.00","0.05138","4.83","MXN",
"Indonesia (IDR)","0","2228.00","2228.00","0","0","0","2228.00","0.00132","2.94","MXN",
"Israel (ILS)","1","9.20","9.20","0","0","0","9.20","5.77065","53.09","MXN",
"Japón (JPY)","4","4813.00","4813.00","0","0","-481.00","4332.00","0.14405","624.02","MXN",
"Corea del Sur (KRW)","0","967.00","967.00","0","0","0","967.00","0.01541","14.90","MXN",
"México (MXN)","180","23073.18","23073.18","0","0","0","23073.18","1.00000","23073.18","MXN",
"Malasia (MYR)","1","18.17","18.17","0","0","0","18.17","4.53880","82.47","MXN",
"Noruega (NOK)","1","23.65","23.65","0","0","0","23.65","1.99789","47.25","MXN",
"Nueva Zelanda (NZD)","0","3.22","3.22","0","0","-0.30","2.92","12.55479","36.66","MXN",
"Perú (PEN)","2","49.44","49.44","0","0","0","49.44","5.33718","263.87","MXN",
"Polonia (PLN)","1","5.55","5.55","0","0","0","5.55","4.49910","24.97","MXN",
"Rumanía (RON)","0","3.87","3.87","0","0","0","3.87","4.28424","16.58","MXN",
"Rusia (RUB)","0","116.63","116.63","0","0","0","116.63","0.30198","35.22","MXN",
"Arabia Saudí (SAR)","0","0.90","0.90","0","0","0","0.90","5.25556","4.73","MXN",
"Suecia (SEK)","3","31.17","31.17","0","0","0","31.17","1.90472","59.37","MXN",
"Singapur (SGD)","0","0.71","0.71","0","0","0","0.71","14.54930","10.33","MXN",
"Tailandia (THB)","0","4.76","4.76","0","0","0","4.76","0.57353","2.73","MXN",
"Turquía (TRY)","0","4.71","4.71","0","0","0","4.71","1.05945","4.99","MXN",
"Taiwán (TWD)","0","31.00","31.00","0","0","0","31.00","0.65677","20.36","MXN",
"América (USD)","192","1385.46","1385.46","0","0","-138.55","1246.91","19.75050","24627.10","MXN",
"América Latina y el Caribe (USD)","1","41.26","41.26","0","0","0","41.26","19.75061","814.91","MXN",
"Resto del mundo (USD)","0","0.52","0.52","0","0","0","0.52","19.75000","10.27","MXN",
"Sudáfrica (ZAR)","2","19.41","19.41","0","0","0","19.41","1.11643","21.67","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"55,922.71 MXN",,
,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715,,
,,,,,,,,,,,,
,,,,,,,,,,,,
