"iTunes Connect - Pagos e informes financieros	(Enero, 2024)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,2.84,2.84,0,0,0,2.84,4.64437,13.19,MXN,
Australia (AUD),7,,27.46,27.46,0,0,-2.6,24.86,11.18906,278.16,MXN,
Bulgaria (BGN),0,,0.3,0.3,0,0,0,0.3,9.23333,2.77,MXN,
Brasil (BRL),2,,48.13,48.13,0,0,0,48.13,3.45149,166.12,MXN,
Canadá (CAD),9,,69.85,69.85,0,0,0,69.85,12.64639,883.35,MXN,
Suiza (CHF),1,,13.36,13.36,0,0,0,13.36,19.35554,258.59,MXN,
Chile (CLP),6,,31521,31521,0,0,0,31521,0.01753,552.58,MXN,
China continental (CNY),0,,5.97,5.97,0,0,0,5.97,2.36683,14.13,MXN,
Colombia (COP),4,,79698.58,79698.58,0,0,0,79698.58,0.00433,345.36,MXN,
República Checa (CZK),0,,21.48,21.48,0,0,0,21.48,0.73045,15.69,MXN,
Dinamarca (DKK),0,,13.95,13.95,0,0,0,13.95,2.4767,34.55,MXN,
Eurozona (EUR),17,,163.12,163.12,0,0,0,163.12,18.45917,3011.06,MXN,
Reino Unido (GBP),5,,20.07,20.07,0,0,0,20.07,21.60289,433.57,MXN,
Hong Kong (HKD),0,,5.15,5.15,0,0,0,5.15,2.18058,11.23,MXN,
Hungría (HUF),0,,97,97,0,0,0,97,0.04753,4.61,MXN,
Indonesia (IDR),0,,4350,4350,0,0,0,4350,0.0011,4.8,MXN,
Israel (ILS),0,,9.79,9.79,0,0,0,9.79,4.69459,45.96,MXN,
India (INR),0,,34.8,34.8,0,0,0,34.8,0.2069,7.2,MXN,
Japón (JPY),15,,6361,6361,0,0,-636,5725,0.11316,647.84,MXN,
Corea del Sur (KRW),0,,1721,1721,0,0,0,1721,0.01277,21.97,MXN,
México (MXN),237,,27688.91,27688.91,0,0,0,27688.91,1,27688.91,MXN,
Malasia (MYR),0,,0.62,0.62,0,0,0,0.62,3.58065,2.22,MXN,
Noruega (NOK),0,,12.19,12.19,0,0,0,12.19,1.6169,19.71,MXN,
Nueva Zelanda (NZD),0,,4.25,4.25,0,0,-0.41,3.84,10.55469,40.53,MXN,
Perú (PEN),0,,57.86,57.86,0,0,0,57.86,4.47753,259.07,MXN,
Filipinas (PHP),0,,11.83,11.83,0,0,0,11.83,0.2967,3.51,MXN,
Polonia (PLN),1,,6.93,6.93,0,0,0,6.93,4.26118,29.53,MXN,
Catar (QAR),0,,0.57,0.57,0,0,0,0.57,4.52632,2.58,MXN,
Rumanía (RON),0,,2.75,2.75,0,0,0,2.75,3.69091,10.15,MXN,
Rusia (RUB),13,,246.81,246.81,0,0,0,246.81,0.17763,43.84,MXN,
Arabia Saudí (SAR),1,,4.98,4.98,0,0,0,4.98,4.54618,22.64,MXN,
Suecia (SEK),2,,27.58,27.58,0,0,0,27.58,1.6512,45.54,MXN,
Singapur (SGD),0,,0.37,0.37,0,0,0,0.37,12.67568,4.69,MXN,
Turquía (TRY),0,,13.63,13.63,0,0,0,13.63,0.54879,7.48,MXN,
Taiwán (TWD),0,,28,28,0,0,0,28,0.54071,15.14,MXN,
América (USD),156,,1904.52,1904.52,0,0,-190.45,1714.07,17.055,29233.46,MXN,
Resto del mundo (USD),0,,0.9,0.9,0,0,0,0.9,17.05556,15.35,MXN,
América Latina y el Caribe (USD),1,,72.37,72.37,0,0,0,72.37,17.055,1234.27,MXN,
Sudáfrica (ZAR),0,,11.68,11.68,0,0,0,11.68,0.88442,10.33,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"65,441.68 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
