"iTunes Connect - Pagos e informes financieros	(Noviembre, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.34,3.34,0,0,0,3.34,4.62575,15.45,MXN,
Australia (AUD),1,,14.25,14.25,0,0,-1.3,12.95,11.49035,148.8,MXN,
Brasil (BRL),2,,62.91,62.91,0,0,0,62.91,3.4934,219.77,MXN,
Canadá (CAD),7,,47.86,47.86,0,0,0,47.86,12.7501,610.22,MXN,
Suiza (CHF),4,,12.58,12.58,0,0,0,12.58,19.72496,248.14,MXN,
Chile (CLP),6,,37779,37779,0,0,0,37779,0.01969,743.78,MXN,
China continental (CNY),0,,3.4,3.4,0,0,0,3.4,2.37941,8.09,MXN,
Colombia (COP),1,,72493.49,72493.49,0,0,0,72493.49,0.00433,313.93,MXN,
República Checa (CZK),0,,27.37,27.37,0,0,0,27.37,0.75484,20.66,MXN,
Dinamarca (DKK),0,,7.77,7.77,0,0,0,7.77,2.49678,19.4,MXN,
Eurozona (EUR),9,,127.22,127.22,0,0,0,127.22,18.61571,2368.29,MXN,
Reino Unido (GBP),4,,25.29,25.29,0,0,0,25.29,21.49901,543.71,MXN,
Hong Kong (HKD),0,,2.43,2.43,0,0,0,2.43,2.17695,5.29,MXN,
Hungría (HUF),0,,118,118,0,0,0,118,0.0489,5.77,MXN,
Indonesia (IDR),0,,2549,2549,0,0,0,2549,0.00109,2.79,MXN,
Israel (ILS),1,,25.51,25.51,0,0,0,25.51,4.64132,118.4,MXN,
India (INR),0,,20.44,20.44,0,0,0,20.44,0.20059,4.1,MXN,
Japón (JPY),6,,3010,3010,0,0,-301,2709,0.1185,321.02,MXN,
Corea del Sur (KRW),0,,2601,2601,0,0,0,2601,0.01303,33.88,MXN,
México (MXN),231,,23763.34,23763.34,0,0,0,23763.34,1,23763.34,MXN,
Malasia (MYR),0,,0.57,0.57,0,0,0,0.57,3.59649,2.05,MXN,
Noruega (NOK),0,,11.35,11.35,0,0,0,11.35,1.65374,18.77,MXN,
Nueva Zelanda (NZD),0,,2.57,2.57,0,0,-0.19,2.38,10.68487,25.43,MXN,
Perú (PEN),0,,42.87,42.87,0,0,0,42.87,4.57919,196.31,MXN,
Polonia (PLN),0,,3.6,3.6,0,0,0,3.6,4.29167,15.45,MXN,
Rumanía (RON),0,,3,3,0,0,0,3,3.72333,11.17,MXN,
Rusia (RUB),1,,116.05,116.05,0,0,0,116.05,0.18682,21.68,MXN,
Arabia Saudí (SAR),0,,1.96,1.96,0,0,0,1.96,4.53061,8.88,MXN,
Suecia (SEK),0,,5.88,5.88,0,0,0,5.88,1.67347,9.84,MXN,
Singapur (SGD),0,,0.16,0.16,0,0,0,0.16,12.8125,2.05,MXN,
Turquía (TRY),0,,14.09,14.09,0,0,0,14.09,0.58339,8.22,MXN,
Taiwán (TWD),0,,24,24,0,0,0,24,0.54292,13.03,MXN,
Resto del mundo (USD),0,,0.99,0.99,0,0,0,0.99,17,16.83,MXN,
América Latina y el Caribe (USD),5,,72.18,72.18,0,0,0,72.18,16.99695,1226.84,MXN,
América (USD),136,,1879.05,1879.05,0,0,-187.91,1691.14,16.9969,28744.14,MXN,
Sudáfrica (ZAR),0,,8.36,8.36,0,0,0,8.36,0.92703,7.75,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"59,843.27 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
