"iTunes Connect - Pagos e informes financieros	(Octubre, 2023)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
Emiratos Árabes Unidos (AED),0,,3.4,3.4,0,0,0,3.4,4.64706,15.8,MXN,
Australia (AUD),2,,22.77,22.77,0,0,-2.2,20.57,11.20613,230.51,MXN,
Bulgaria (BGN),0,,2.52,2.52,0,0,0,2.52,9.52778,24.01,MXN,
Brasil (BRL),1,,41.16,41.16,0,0,0,41.16,3.48737,143.54,MXN,
Canadá (CAD),6,,63.28,63.28,0,0,0,63.28,12.4646,788.76,MXN,
Suiza (CHF),6,,23.15,23.15,0,0,0,23.15,19.30756,446.97,MXN,
Chile (CLP),1,,29850,29850,0,0,0,29850,0.01959,584.73,MXN,
China continental (CNY),0,,3.58,3.58,0,0,0,3.58,2.38547,8.54,MXN,
Colombia (COP),0,,72507.97,72507.97,0,0,0,72507.97,0.00417,302.13,MXN,
República Checa (CZK),0,,23.19,23.19,0,0,0,23.19,0.7624,17.68,MXN,
Dinamarca (DKK),1,,21.92,21.92,0,0,0,21.92,2.49635,54.72,MXN,
Egipto (EGP),0,,4.12,4.12,0,0,0,4.12,0.54126,2.23,MXN,
Eurozona (EUR),8,,145.1,145.1,0,0,0,145.1,18.6133,2700.79,MXN,
Reino Unido (GBP),2,,20.24,20.24,0,0,0,20.24,21.42984,433.74,MXN,
Hong Kong (HKD),0,,2,2,0,0,0,2,2.19,4.38,MXN,
Hungría (HUF),0,,99,99,0,0,0,99,0.04889,4.84,MXN,
Indonesia (IDR),0,,4944,4944,0,0,0,4944,0.00109,5.4,MXN,
Israel (ILS),0,,14.16,14.16,0,0,0,14.16,4.56144,64.59,MXN,
India (INR),0,,21.33,21.33,0,0,0,21.33,0.20066,4.28,MXN,
Japón (JPY),5,,4558,4558,0,0,-456,4102,0.11409,468,MXN,
Corea del Sur (KRW),0,,1819,1819,0,0,0,1819,0.0131,23.83,MXN,
Kazajistán (KZT),0,,123.5,123.5,0,0,0,123.5,0.03765,4.65,MXN,
México (MXN),188,,27863.91,27863.91,0,0,0,27863.91,1,27863.91,MXN,
Malasia (MYR),0,,3.26,3.26,0,0,0,3.26,3.65337,11.91,MXN,
Noruega (NOK),0,,12.4,12.4,0,0,0,12.4,1.58548,19.66,MXN,
Nueva Zelanda (NZD),0,,5.07,5.07,0,0,-0.5,4.57,10.34354,47.27,MXN,
Perú (PEN),0,,48.4,48.4,0,0,0,48.4,4.57004,221.19,MXN,
Filipinas (PHP),0,,10.38,10.38,0,0,0,10.38,0.30443,3.16,MXN,
Polonia (PLN),0,,6.87,6.87,0,0,0,6.87,4.25328,29.22,MXN,
Rumanía (RON),0,,3.59,3.59,0,0,0,3.59,3.73259,13.4,MXN,
Rusia (RUB),0,,108.17,108.17,0,0,0,108.17,0.19081,20.64,MXN,
Arabia Saudí (SAR),0,,2.4,2.4,0,0,0,2.4,4.55,10.92,MXN,
Suecia (SEK),0,,12.43,12.43,0,0,0,12.43,1.62751,20.23,MXN,
Singapur (SGD),0,,0.41,0.41,0,0,0,0.41,12.73171,5.22,MXN,
Tailandia (THB),0,,6.64,6.64,0,0,0,6.64,0.4759,3.16,MXN,
Turquía (TRY),0,,8.74,8.74,0,0,0,8.74,0.59153,5.17,MXN,
Taiwán (TWD),1,,56,56,0,0,0,56,0.53839,30.15,MXN,
América (USD),237,,2107.49,2107.49,0,0,-210.75,1896.74,17.0675,32372.61,MXN,
Resto del mundo (USD),0,,0.67,0.67,0,0,0,0.67,17.07463,11.44,MXN,
América Latina y el Caribe (USD),0,,66.23,66.23,0,0,0,66.23,17.06749,1130.38,MXN,
Sudáfrica (ZAR),0,,11.33,11.33,0,0,0,11.33,0.9038,10.24,MXN,
,,,,,,,,,,,,
,,,,,,,,,,,"68,164.00 MXN",
,,,,,,,,,,,Pagado a BBVA MEXICO, SA-****3715
