"iTunes Connect - Pagos e informes financieros	(Julio, 2021)",,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Emiratos Árabes Unidos (AED)","0","","2.03","2.03","0","0","0","2.03","5.45813","11.08","MXN",
"Australia (AUD)","9","","22.89","22.89","0","0","-2.20","20.69","14.35089","296.92","MXN",
"Bulgaria (BGN)","0","","0.38","0.38","0","0","0","0.38","11.71053","4.45","MXN",
"Brasil (BRL)","5","","83.89","83.89","0","0","0","83.89","3.84682","322.71","MXN",
"Canadá (CAD)","9","","74.28","74.28","0","0","0","74.28","15.72240","1167.86","MXN",
"Suiza (CHF)","5","","23.56","23.56","0","0","0","23.56","21.88115","515.52","MXN",
"Chile (CLP)","1","","23701.00","23701.00","0","0","0","23701.00","0.02650","627.99","MXN",
"China continental (CNY)","0","","3.48","3.48","0","0","0","3.48","3.08333","10.73","MXN",
"Colombia (COP)","9","","63761.06","63761.06","0","0","0","63761.06","0.00542","345.56","MXN",
"República Checa (CZK)","0","","22.63","22.63","0","0","0","22.63","0.92179","20.86","MXN",
"Dinamarca (DKK)","0","","11.89","11.89","0","0","0","11.89","3.15139","37.47","MXN",
"Eurozona (EUR)","17","","138.69","138.69","0","0","0","138.69","23.43550","3250.27","MXN",
"Reino Unido (GBP)","2","","21.74","21.74","0","0","0","21.74","27.43422","596.42","MXN",
"Hong Kong (HKD)","0","","2.52","2.52","0","0","0","2.52","2.57143","6.48","MXN",
"Croacia (HRK)","0","0.86","1.00","1.86","0","0","0","1.86","3.15054","5.86","MXN",
"Hungría (HUF)","0","","100.00","100.00","0","0","0","100.00","0.06560","6.56","MXN",
"Indonesia (IDR)","0","","5979.00","5979.00","0","0","0","5979.00","0.00141","8.44","MXN",
"Israel (ILS)","0","","6.16","6.16","0","0","0","6.16","6.20130","38.20","MXN",
"India (INR)","0","","35.21","35.21","0","0","0","35.21","0.27293","9.61","MXN",
"Japón (JPY)","5","","3777.00","3777.00","0","0","-377.00","3400.00","0.18272","621.25","MXN",
"Corea del Sur (KRW)","0","","3816.00","3816.00","0","0","0","3816.00","0.01738","66.32","MXN",
"México (MXN)","396","","31591.33","31591.33","0","0","0","31591.33","1.00000","31591.33","MXN",
"Malasia (MYR)","0","","0.72","0.72","0","0","0","0.72","4.88889","3.52","MXN",
"Noruega (NOK)","0","","15.08","15.08","0","0","0","15.08","2.22812","33.60","MXN",
"Nueva Zelanda (NZD)","0","","2.39","2.39","0","0","-0.19","2.20","13.68182","30.10","MXN",
"Perú (PEN)","0","","30.72","30.72","0","0","0","30.72","5.05664","155.34","MXN",
"Filipinas (PHP)","0","","8.39","8.39","0","0","0","8.39","0.39094","3.28","MXN",
"Polonia (PLN)","0","","8.97","8.97","0","0","0","8.97","5.14716","46.17","MXN",
"Rumanía (RON)","1","","6.47","6.47","0","0","0","6.47","4.74498","30.70","MXN",
"Rusia (RUB)","0","","156.77","156.77","0","0","0","156.77","0.27046","42.40","MXN",
"Arabia Saudí (SAR)","0","","1.01","1.01","0","0","0","1.01","5.34653","5.40","MXN",
"Suecia (SEK)","0","","10.44","10.44","0","0","0","10.44","2.28257","23.83","MXN",
"Singapur (SGD)","0","","0.75","0.75","0","0","0","0.75","14.69333","11.02","MXN",
"Turquía (TRY)","0","","2.68","2.68","0","0","0","2.68","2.34701","6.29","MXN",
"Taiwán (TWD)","0","","28.00","28.00","0","0","0","28.00","0.72821","20.39","MXN",
"Resto del mundo (USD)","0","","1.04","1.04","0","0","0","1.04","20.04808","20.85","MXN",
"América Latina y el Caribe (USD)","4","","61.13","61.13","0","0","0","61.13","20.04433","1225.31","MXN",
"América (USD)","242","","1564.11","1564.11","0","0","-156.41","1407.70","20.04430","28216.36","MXN",
"Sudáfrica (ZAR)","0","","10.97","10.97","0","0","0","10.97","1.31996","14.48","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"69,450.93 MXN",,
,,,,,,,,,,Pagado a BBVA BANCOMER, S.A.-****3715,,
,,,,,,,,,,,,
,,,,,,,,,,,,
País o región (Divisa),Unidades vendidas,Saldo,Ingresado,Subtotal antes<br>de impuestos,Impuesto repercutido,Ajustes,Retención fiscal,Total adeudado,Tipo de cambio,Ganancias,Divisa de la cuenta bancaria,
"Vietnam (VND)","0","326.00","0.00","326.00","0.00","0.00","0.00","326.00","","0.28","MXN",
,,,,,,,,,,,,
,,,,,,,,,,"0.28 MXN",,
,,,,,,,,,,Ganancias estimadas,,
,,,,,,,,,,,,
,,,,,,,,,,,,
